Date,Close,High,Low,Open,Volume,Bid,Ask
2023-10-26,164.956787109375,169.39478149468584,163.7509180796386,168.39647143119544,70625300,164.87430871582032,165.03926550292968
2023-10-27,166.27134704589844,167.00278034322866,164.8974493569631,164.9765244498122,58499100,166.1882113723755,166.35448271942138
2023-10-30,168.31735229492188,169.1871631923404,166.91380339901636,167.06207484672964,51131000,168.23319361877444,168.4015109710693
2023-10-31,168.79185485839844,168.92033872091713,165.95508983700142,167.38830552985596,44846000,168.70745893096924,168.87625078582764
2023-11-01,171.9547576904297,172.2117404582064,168.14934950515965,169.01916053768616,56934900,171.8687803115845,172.0407350692749
2023-11-02,175.51307678222656,175.72063574409248,173.4275179386151,173.4868204991482,77334800,175.42532024383547,175.60083332061765
2023-11-03,174.6037139892578,174.77175801380423,171.34195262679097,172.2216424329047,79829200,174.51641213226318,174.69101584625244
2023-11-06,177.15382385253906,177.35150406781844,174.16881791314302,174.33684685023218,63841300,177.0652469406128,177.24240076446532
2023-11-07,179.7138214111328,180.32663456302825,176.89682951103612,177.1043884447924,70530000,179.62396450042726,179.80367832183836
2023-11-08,180.77142333984375,181.32493395317235,179.4864793691692,180.23768527185777,49340300,180.68103762817384,180.86180905151366
2023-11-09,180.29696655273438,181.98714947029399,179.7039109186948,180.84059837026544,53763500,180.20681806945802,180.38711503601073
2023-11-10,184.48348999023438,184.65175539538808,181.6430032262288,182.07848170612579,66133400,184.39124824523927,184.57573173522948
2023-11-13,182.89996337890625,184.11731278262945,182.3160331472403,183.9094803756521,43627500,182.8085133972168,182.9914133605957
2023-11-14,185.5128173828125,186.17592689168708,184.38453902262373,185.7701387274506,60108400,185.4200609741211,185.6055737915039
2023-11-15,186.07693481445312,187.55162053928348,185.84930383072194,185.91859136162876,53790500,185.9838963470459,186.16997328186034
2023-11-16,187.7594451904297,188.99659293267834,186.71033121940587,187.62088524737388,54412900,187.66556546783448,187.8533249130249
2023-11-17,187.73968505859375,188.42259316852056,186.63120528706287,188.29392494435922,50922700,187.64581521606448,187.83355490112302
2023-11-20,189.4815673828125,189.93684445013852,187.92771748948175,187.93760923589429,46505100,189.3868265991211,189.5763081665039
2023-11-21,188.67987060546875,189.55082742435687,187.7891302966246,189.44195782199586,38134500,188.58553067016604,188.77421054077146
2023-11-22,189.343017578125,190.94635649331246,188.8679569924961,189.52117473642568,39617700,189.24834606933595,189.43768908691405
2023-11-24,188.0167999267578,188.93723076179566,187.30420149232032,188.90754041885276,24048300,187.92279152679444,188.11080832672118
2023-11-27,187.838623046875,188.7095799535061,186.95777439426936,187.9672912540552,40552600,187.74470373535158,187.93254235839842
2023-11-28,188.44235229492188,189.1153685705385,187.45263402635211,187.82873180101734,38415400,188.34813111877443,188.53657347106932
2023-11-29,187.4229736328125,190.11500896160672,187.02709230289176,188.93724161752115,43014200,187.3292621459961,187.5166851196289
2023-11-30,187.9969940185547,188.36320007044645,186.2550951920731,187.88812439803064,48794400,187.90299552154542,188.09099251556395
2023-12-01,189.27374267578125,189.5904446947665,187.28439912721964,188.37309535289532,45704800,189.17910580444337,189.36837954711913
2023-12-04,187.48233032226562,188.09596593756666,185.52269231677565,188.02667840765253,43389500,187.3885891571045,187.57607148742676
2023-12-05,191.43130493164062,192.40122460244103,188.22461231756913,188.25431775925796,66628400,191.33558927917483,191.52702058410642
2023-12-06,190.34263610839844,192.75753614335477,190.1347886146608,192.45072587794942,41089700,190.24746479034425,190.43780742645262
2023-12-07,192.27256774902344,192.99505783958267,191.5995514892092,191.63914867608756,47477700,192.17643146514894,192.36870403289794
2023-12-08,193.69778442382812,193.9749043529612,191.67875053796885,192.20330005396386,53406400,193.60093553161622,193.79463331604003
2023-12-11,191.19378662109375,191.50061200003438,189.45188773429211,191.12451418849048,60943700,191.09818972778322,191.28938351440428
2023-12-12,192.7080841064453,192.71797585416002,189.74882053401817,191.09483821655866,52696900,192.6117300643921,192.80443814849852
2023-12-13,195.92465209960938,195.96423418895137,192.8466274130704,193.08415015292962,70404200,195.8266897735596,196.02261442565916
2023-12-14,196.0731201171875,197.56758952005956,194.14317218582164,195.98404908233329,66831600,195.97508355712893,196.17115667724607
2023-12-15,195.53866577148438,196.36011872958818,194.9745190512041,195.4990685795855,128538400,195.44089643859866,195.6364351043701
2023-12-18,193.8759307861328,194.6083278162061,192.39135323196817,194.07387143964067,55751900,193.77899282073975,193.97286875152588
2023-12-19,194.91513061523438,194.92502236186388,193.87592334681435,194.1431515248431,40714100,194.81767304992678,195.01258818054197
2023-12-20,192.82681274414062,195.64750075817219,192.82681274414062,194.87552171417178,52242800,192.73039933776857,192.92322615051268
2023-12-21,192.6783447265625,195.0536776254948,191.51048442189503,194.08375795359612,46482500,192.58200555419924,192.77468389892576
2023-12-22,191.60943603515625,193.400823434399,190.9859087805623,193.17317739109953,37149600,191.51363131713867,191.70524075317383
2023-12-26,191.0651092529297,191.89646895007564,190.8473700319769,191.61934905102697,28919300,190.96957669830323,191.16064180755615
2023-12-27,191.1641082763672,191.51051576683653,189.1252907315366,190.51090559150927,48087700,191.06852622222902,191.25969033050535
2023-12-28,191.58969116210938,192.65858885458314,191.18390299052217,192.14393105407996,34049900,191.49389631652832,191.68548600769043
2023-12-29,190.5504608154297,192.40122918172025,189.758683164504,191.9063700376295,42672100,190.45518558502198,190.6457360458374
2024-01-02,183.73129272460938,186.50250680575422,181.99928581163158,185.2257618242656,82488700,183.63942707824708,183.82315837097167
2024-01-03,182.35560607910156,183.96885182302105,181.5440297827802,182.32591573673892,58414500,182.26442827606203,182.4467838821411
2024-01-04,180.03965759277344,181.2075179249861,179.0202489631632,180.27718031693732,71983600,179.94963776397705,180.12967742156982
2024-01-05,179.317138671875,180.8808952614232,178.31752871293088,180.1188231104021,62379700,179.22748010253906,179.40679724121094
2024-01-08,183.6521453857422,183.69174257913158,179.63389106527006,180.21782130157615,59144500,183.56031931304932,183.74397145843506
2024-01-09,183.23646545410156,183.24635720149604,180.85124046635073,182.02900778818224,42841800,183.14484722137453,183.3280836868286
2024-01-10,184.27566528320312,184.48349768333688,182.02900036017593,182.4545871112419,46792900,184.18352745056154,184.3678031158447
2024-01-11,183.6818084716797,185.12680377786887,181.73206228896322,184.6220377994394,49128400,183.58996756744386,183.7736493759155
2024-01-12,184.00843811035156,184.82001442518902,183.28594792653803,184.14699807850627,40477800,183.9164338912964,184.10044232940672
2024-01-16,181.74200439453125,182.36551675075452,179.0697524893553,180.28711706016838,65603000,181.651133392334,181.8328753967285
2024-01-17,180.80172729492188,181.04915686376333,178.44620806884475,179.40623600410183,47317400,180.71132643127441,180.89212815856934
2024-01-18,186.69056701660156,187.1953179109023,183.91935276727983,184.17667408756796,78005800,186.59722173309328,186.78391230010985
2024-01-19,189.59043884277344,189.97642838325277,186.8786203129096,187.38337121910467,68903000,189.49564362335207,189.6852340621948
2024-01-22,191.896484375,193.32168117146784,190.2832386815117,190.32283587135973,60133900,191.8005361328125,191.9924326171875
2024-01-23,193.17320251464844,193.7373491711095,191.83709192633378,193.01485907067706,42355600,193.07661591339112,193.26978911590575
2024-01-24,192.50022888183594,194.36090430723632,192.34187031331157,193.4107679979945,53631300,192.40397876739502,192.59647899627686
2024-01-25,192.17359924316406,194.2520137003454,191.124500268323,193.21280647175473,54822100,192.0775124435425,192.26968604278562
2024-01-26,190.44158935546875,192.7575265029299,189.96652881027472,192.27257421163478,44594000,190.34636856079103,190.53681015014647
